CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
DESIGN DE INTERIORES,4,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CONSULTORIA DE INTERIORES, DESIGN DE MÓVEIS, CENOGRAFIA","2.500,00-4.500,00",5-15,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Especializado na otimização de ambientes internos, ergonomia, estética e escolha de materiais.",https://www.unopar.com.br/curso/design-de-interiores/,Humanas & Educação
DESIGN DE MODA,4,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"ESTILISMO, COLEÇÕES, MODELAGEM, MARKETING DE MODA","2.800,00-5.000,00",5-15,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado na cadeia têxtil, criação de coleções de roupas, modelagem e gestão de marcas de moda.",https://www.unopar.com.br/curso/design-de-moda/,Humanas & Educação
DEVOPS,5,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"AUTOMAÇÃO DE PROCESSOS DE SOFTWARE, INTEGRAÇÃO, INFRAESTRUTURA","5.500,00-10.000,00",5-10,BARBALHA,EAD,FLEXÍVEL,Especializado em integrar equipes de desenvolvimento e operações para automatizar entregas de software.,https://www.unopar.com.br/curso/devops/,Tecnologia & TI
EDUCAÇÃO FÍSICA,8,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"GESTÃO DE ACADEMIAS, TREINAMENTO FÍSICO, PREPARAÇÃO ESPORTIVA","2.500,00-4.500,00",15-25,BARBALHA,SEMIPRESENCIAL,NOTURNO,"Focado na promoção da saúde, preparação física, condicionamento e atividades esportivas.",https://www.unopar.com.br/curso/educacao-fisica-bacharelado/,Saúde
ESTÉTICA E COSMÉTICA,7,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"CLÍNICAS DE ESTÉTICA, SALÕES DE BELEZA, SPAS, VISAGISMO","2.200,00-4.000,00",10-20,BARBALHA,SEMIPRESENCIAL,NOTURNO,"Especializado em tratamentos corporais, faciais, capilares, bem-estar e cosmetologia aplicada.",https://www.unopar.com.br/curso/estetica-e-cosmetica/,Saúde
GASTRONOMIA,6,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"COZINHAS PROFISSIONAIS, CONSULTORIA GASTRONÔMICA, GESTÃO","2.800,00-5.500,00",5-15,BARBALHA,SEMIPRESENCIAL,NOTURNO,"Focado nas técnicas de culinária, panificação, confeitaria e gestão de negócios gastronômicos.",https://www.unopar.com.br/curso/gastronomia/,Humanas & Educação
GESTÃO COMERCIAL,4,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"VENDAS CORPORATIVAS, GERÊNCIA COMERCIAL, REPRESENTAÇÃO","2.800,00-4.800,00",10-25,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Especializado em estratégias de vendas, negociação, prospecção e gerenciamento de equipes comerciais.",https://www.unopar.com.br/curso/gestao-comercial/,Negócios & Gestão
GESTÃO DE PRODUTO,6,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,GERENCIAMENTO DE PRODUTOS DIGITAIS EM EMPRESAS DE TECNOLOGIA,"6.500,00-12.000,00",5-15,BARBALHA,EAD,FLEXÍVEL,"Focado na concepção, lançamento, métricas e ciclo de vida de produtos de base tecnológica.",https://www.unopar.com.br/curso/gestao-de-produto/,Negócios & Gestão
GESTÃO DE RECURSOS HUMANOS,4,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"RECRUTAMENTO E SELEÇÃO, DEPARTAMENTO PESSOAL, TREINAMENTO","3.000,00-5.000,00",20-40,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Especializado em rotinas de departamento pessoal, atração de talentos e desenvolvimento humano.",https://www.unopar.com.br/curso/gestao-de-recursos-humanos/,Negócios & Gestão
PEDAGOGIA,8,450,VESTIBULAR/ENEM,LICENCIATURA,SOB DEMANDA,"DOCÊNCIA NA EDUCAÇÃO INFANTIL, SÉRIES INICIAIS, GESTÃO ESCOLAR","2.400,00-3.800,00",30-50,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado na docência na educação básica, coordenação pedagógica e gestão de instituições de ensino.",https://www.unopar.com.br/curso/pedagogia/,Humanas & Educação
PUBLICIDADE E PROPAGANDA - MARKETING,8,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"AGÊNCIAS DE PUBLICIDADE, MARKETING DIGITAL, BRANDING","3.200,00-5.500,00",10-20,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Especializado em comunicação de massa, campanhas publicitárias, marketing e imagem de marcas.",https://www.unopar.com.br/curso/publicidade-e-propaganda/,Humanas & Educação
SEGURANÇA NO TRABALHO,6,450,VESTIBULAR/ENEM,TECNÓLOGO,SOB DEMANDA,"AUDITORIA DE RISCOS, TREINAMENTOS, PREVENÇÃO DE ACIDENTES","3.200,00-5.000,00",15-30,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Focado em antecipar riscos laborais, normas regulamentadoras (NRs) e proteção do trabalhador.",https://www.unopar.com.br/curso/seguranca-no-trabalho/,Negócios & Gestão
SERVIÇO SOCIAL,8,450,VESTIBULAR/ENEM,BACHARELADO,SOB DEMANDA,"ÓRGÃOS PÚBLICOS, ONGS, PROJETOS SOCIAIS, ASSISTÊNCIA","2.800,00-4.500,00",15-25,BARBALHA,EAD/SEMIPRESENCIAL,FLEXÍVEL,"Especializado na garantia de direitos humanos, formulação e execução de políticas de amparo social.",https://www.unopar.com.br/curso/servico-social/,Humanas & Educação
