CURSO,DURAÇÃO/SEMESTRES,NOTA DE CORTE MÉDIA,FORMA DE INGRESSO,TIPO,NUMERO DE VAGAS,AREA DE ATUAÇÃO,MED. SALARIAL,MED. FORMANDOS POR SEMESTRE,CAMPUS,MODALIDADE,TURNO,DESCRIÇÃO,LINK PAG. CURSO,ÁREA
NUTRIÇÃO,8,540-600,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"NUTRIÇÃO CLÍNICA, ESPORTIVA, ALIMENTAÇÃO COLETIVA, SAÚDE PÚBLICA","3.000,00-4.000,00",3-8,CRATO,EAD,TURNO LIVRE,Focado na relação entre o homem e o alimento para promover a saúde e prevenir doenças.,https://site.unifatecie.edu.br/curso/nutricao/,Saúde
ADMINISTRAÇÃO,8,450-530,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"GESTÃO FINANCEIRA, PLANEJAMENTO ESTRATÉGICO, LOGÍSTICA, MARKETING","3.800,00-5.500,00",20-40,CRATO,EAD,TURNO LIVRE,"Capacita para gerenciar recursos humanos, financeiros e materiais com foco em eficiência.",https://site.unifatecie.edu.br/curso/administracao/,Negócios & Gestão
AGENTE COMUNITÁRIO,4,450-480,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"MAPEAMENTO DE SAÚDE LOCAL, VISITAS DOMICILIARES, ORIENTAÇÃO, CADASTRAMENTO","2.400,00-2.824,00",5-15,CRATO,EAD,TURNO LIVRE,"Curso focado em saúde pública e preventiva, preparando para atuar na ponte entre comunidade e SUS.",https://site.unifatecie.edu.br/curso/agente-comunitario/,Saúde
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,5,480-550,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"DESENVOLVIMENTO WEB E MOBILE, BANCO DE DADOS, SUPORTE, DEVOPS","4.500,00-7.500,00",15-35,CRATO,EAD,TURNO LIVRE,"Formação prática focada em projetar, programar, testar e implementar softwares e sistemas.",https://site.unifatecie.edu.br/curso/analise-e-desenvolvimento-de-sistemas/,Tecnologia & TI
ARQUITETURA E URBANISMO,10,530-590,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"PROJETOS RESIDENCIAIS, DESIGN DE INTERIORES, PLANEJAMENTO URBANO, PAISAGISMO","4.800,00-7.000,00",2-6,CRATO,EAD,TURNO LIVRE,"Combina arte e técnica para planejar, organizar e construir espaços internos e externos.",https://site.unifatecie.edu.br/curso/arquitetura-e-urbanismo/,Humanas & Educação
ARTES,6-8,450-500,ENEM/VESTIBULAR,LICENCIATURA,ILIMITADO,"ENSINO DE ARTES, OFICINAS CULTURAIS, CRÍTICA DE ARTE, CURADORIA","2.500,00-3.800,00",5-12,CRATO,EAD,TURNO LIVRE,"Estuda as manifestações artísticas em sua totalidade, com forte viés pedagógico para o ensino.",https://site.unifatecie.edu.br/curso/artes/,Humanas & Educação
ARTES VISUAIS,6-8,450-500,ENEM/VESTIBULAR,LICENCIATURA,ILIMITADO,"ILUSTRAÇÃO, ARTES PLÁSTICAS, ANIMACÃO, DIREÇÃO DE ARTES, FOTOGRAFIA","2.500,00-4.000,00",5-10,CRATO,EAD,TURNO LIVRE,"Focado nas formas de expressão visuais, engajando com técnicas de pintura, escultura e cinema.",https://site.unifatecie.edu.br/curso/artes-visuais/,Humanas & Educação
BIBLIOTECNOMIA,6-8,450-490,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"GESTÃO DE BIBLIOTECAS, ORGANIZAÇÃO DE DOCUMENTOS, CURADORIA DE DADOS","3.200,00-4.800,00",1-4,CRATO,EAD,TURNO LIVRE,"Dedicado à gestão do conhecimento, ensinando a organizar, classificar e disseminar informações.",https://site.unifatecie.edu.br/curso/biblioteconomia/,Humanas & Educação
CIÊNCIAS BIOLÓGICAS,8,450-510,ENEM/VESTIBULAR,LICENCIATURA/BACHARELADO,ILIMITADO,"ENSINO DE BIOLOGIA, CONSULTORIA AMBIENTAL, BIOLOGIA MOLECULAR, PRESERVAÇÃO","3.000,00-4.500,00",3-8,CRATO,EAD,TURNO LIVRE,"Estuda a vida em todas as suas formas e escalas, desde moléculas até ecossistemas inteiros.",https://site.unifatecie.edu.br/curso/ciencias-biologicas/,Saúde
CIÊNCIAS ECONÔMICAS,8,480-540,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"ANÁLISE DE MERCADO FINANCEIRO, CONSULTORIA ECONÔMICA, COMÉRCIO INTERNACIONAL","5.500,00-8.500,00",5-12,CRATO,EAD,TURNO LIVRE,"Analisa a produção, distribution e consumo de bens, estudando mercados e políticas públicas.",http://site.unifatecie.edu.br/curso/ciencias-economicas/,Negócios & Gestão
COMÉRCIO EXTERIOR,4,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"IMPORTAÇÃO E EXPORTAÇÃO, DESPACHO ADUANEIRO, LOGÍSTICA INTERNACIONAL","4.200,00-6.000,00",5-10,CRATO,EAD,TURNO LIVRE,Focado nas operações de compra e venda de mercadorias e serviços entre diferentes países.,https://site.unifatecie.edu.br/curso/comercio-exterior/,Negócios & Gestão
DESIGN DE INTERIORES,4,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"PROJETOS RESIDENCIAIS, CENOGRAFIA, DECORAÇÃO, VITRINISMO","3.000,00-4.800,00",5-15,CRATO,EAD,TURNO LIVRE,"Capacita para planejar e ambientar espaços internos, unindo funcionalidade, ergonomia e estética.",https://site.unifatecie.edu.br/curso/design-de-interiores/,Humanas & Educação
DESIGN DE MODA,4,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"ESTILISMO, MODELAGEM, PRODUTOS TÊXTEIS, PRODUÇÃO DE MODA, CONSULTORIA","3.200,00-5.000,00",2-7,CRATO,EAD,TURNO LIVRE,"Envolve o desenvolvimento de produtos para o vestuário, do desenho à gestão de tendências.",https://site.unifatecie.edu.br/curso/design-de-moda/,Humanas & Educação
DESIGN DE PRODUTO,4,450-500,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"DESENHO INDUSTRIAL, EMBALAGENS, CREAÇÃO DE MOBILIÁRIO, PROTOTIPAGEM","4.000,00-6.500,00",2-5,CRATO,EAD,TURNO LIVRE,Focado na criação de objetos físicos e utilitários que atendam a necessidades do mercado.,https://site.unifatecie.edu.br/curso/design-de-produto/,Humanas & Educação
DESIGN GRÁFICO,4,460-520,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"IDENTIDADE VISUAL, DESIGN DIGITAL, DIAGRAMAÇÃO EDITORIAL, MOTION DESIGN","2.800,00-4.500,00",5-12,CRATO,EAD,TURNO LIVRE,"Dedicado à comunicação visual, criando soluções estéticas para marcas, apps e mídias.",https://site.unifatecie.edu.br/curso/design-grafico/,Humanas & Educação
EDUCAÇÃO ESPECIAL,6-8,450-490,ENEM/VESTIBULAR,LICENCIATURA,ILIMITADO,"ATENDIMENTO ESPECIALIZADO (AEE), MEDIAÇÃO ESCOLAR, ASSESSORIA INCLUSIVA","2.800,00-4.200,00",8-15,CRATO,EAD,TURNO LIVRE,Especializa no atendimento pedagógico de estudantes com deficiência ou altas habilidades.,https://site.unifatecie.edu.br/curso/educacao-especial/,Humanas & Educação
ENGENHARIA AGRONÔMICA,10,500-560,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"MANEJO DE CULTURAS, GESTÃO DO AGRONEGÓCIO, DEFESA SANITÁRIA, MECANIZAÇÃO","6.000,00-8.500,00",3-8,CRATO,EAD,TURNO LIVRE,Focado em otimizar a produção agrícola e agropecuária com sustentabilidade e tecnologia.,https://site.unifatecie.edu.br/curso/engenharia-agronomica/,Exatas & Engenharias
ENGENHARIA AMBIENTAL E SANITÁRIA,10,490-550,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"LICENCIAMENTO AMBIENTAL, GESTÃO DE RESÍDUOS, TRATAMENTO DE ÁGUA, AUDITORIA","5.500,00-7.800,00",3-7,CRATO,EAD,TURNO LIVRE,"Dedicado a reduzir os impactos humanos na natureza, projetando sistemas de tratamento e esgoto.",https://site.unifatecie.edu.br/curso/engenharia-ambiental-e-sanitaria/,Exatas & Engenharias
ENGENHARIA DE COMPUTAÇÃO,10,520-580,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"HARDWARE, MICROCONTROLADORES, IOT, AUTOMAÇÃO INDUSTRIAL, REDES","7.000,00-11.500,00",5-12,CRATO,EAD,TURNO LIVRE,"Combina eletrônica e ciência da computação para projetar computadores, chips e circuitos.",https://site.unifatecie.edu.br/curso/engenharia-de-computacao/,Tecnologia & TI
ENGENHARIA DE PRODUÇÃO,10,480-540,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"GESTÃO DE LINHA DE PRODUÇÃO, CONTROLE DE QUALIDADE, LOGÍSTICA, OTIMIZAÇÃO","6.500,00-9.000,00",8-15,CRATO,EAD,TURNO LIVRE,"Une engenharia e administração para otimizar processos industriais, reduzindo custos.",https://site.unifatecie.edu.br/curso/engenharia-de-producao/,Exatas & Engenharias
ENGENHARIA ELÉTRICA,10,510-570,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"SISTEMAS DE POTÊNCIA, ENERGIAS RENOVÁVEIS, ELETRÔNICA, AUTOMAÇÃO","6.800,00-9.500,00",4-10,CRATO,EAD,TURNO LIVRE,"Focado na geração, transmissão, distribuição e utilização da energia elétrica e circuitos.",https://site.unifatecie.edu.br/curso/engenharia-eletrica/,Exatas & Engenharias
ENGENHARIA MECÂNICA,10,510-570,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"PROJETO DE MÁQUINAS, REFRIGERAÇÃO, CLIMATIZAÇÃO, MANUTENÇÃO INDUSTRIAL","6.800,00-9.500,00",4-10,CRATO,EAD,TURNO LIVRE,"Dedicado ao projeto, fabricação e manutenção de sistemas mecânicos, motores e veículos.",https://site.unifatecie.edu.br/curso/engenharia-mecanica/,Exatas & Engenharias
ESTÉTICA E COSMÉTICA,5-6,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"TRATAMENTOS FACIAIS E CORPORAIS, TERAPIA CAPILAR, MAQUIAGEM, VISAGISMO","2.500,00-3.800,00",5-15,CRATO,EAD,TURNO LIVRE,"Focado no cuidado com o corpo, rosto e cabelos, ensinando técnicas de beleza e bem-estar.",https://site.unifatecie.edu.br/curso/estetica-e-cosmetica-2/,Saúde
FARMÁCIA,10,540-610,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"ASSISTÊNCIA FARMACÊUTICA, INDÚSTRIA, ANÁLISES CLÍNICAS, VIGILÂNCIA SANITÁRIA","3.800,00-5.200,00",3-8,CRATO,EAD,TURNO LIVRE,"Estuda a composição, produção e efeito de medicamentos, além de análises laboratoriais.",https://site.unifatecie.edu.br/curso/farmacia-2/,Saúde
FILOSOFIA,6-8,450-490,ENEM/VESTIBULAR,LICENCIATURA,ILIMITADO,"DOCÊNCIA, PESQUISA ACADÊMICA, CRÍTICA CULTURAL, ASSESSORIA ÉTICA","2.600,00-4.000,00",2-6,CRATO,EAD,TURNO LIVRE,"Estimula o pensamento crítico e a investigação sobre ética, política, conhecimento e lógica.",https://site.unifatecie.edu.br/curso/filosofia/,Humanas & Educação
FONOAUDIOLOGIA,8,530-590,ENEM/VESTIBULAR,BACHARELADO,ILIMITADO,"REABILITAÇÃO DA LINGUAGEM, AUDIOLOGIA, DISFAGIA, ASSESSORIA DE VOZ","3.200,00-4.500,00",2-5,CRATO,EAD,TURNO LIVRE,"Dedicado aos distúrbios da comunicação, tratando problemas de fala, audição e mastigação.",https://site.unifatecie.edu.br/curso/fonoaudiologia/,Saúde
GASTRONOMIA,4,450-510,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"CHEFIA DE COZINHA, CONSULTORIA, GESTÃO DE BUFFETS, PANIFICAÇÃO, SEGURANÇA","2.800,00-4.500,00",4-10,CRATO,EAD,TURNO LIVRE,"Envolve a arte culinária e a ciência dos alimentos, técnicas de preparo e gestão de negócios.",https://site.unifatecie.edu.br/curso/gastronomia/,Humanas & Educação
GEOGRAFIA,6-8,450-500,ENEM/VESTIBULAR,LICENCIATURA,ILIMITADO,"DOCÊNCIA ESCOLAR, CARTOGRAFIA, GEOPROCESSAMENTO, ANÁLISE CLIMÁTICA","2.800,00-4.200,00",3-8,CRATO,EAD,TURNO LIVRE,"Estuda o espaço geográfico e a relação entre a sociedade e o meio ambiente.",https://site.unifatecie.edu.br/curso/geografia/,Humanas & Educação
GESTÃO AMBIENTAL,4,450-500,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"CERTIFICAÇÕES AMBIENTAIS, RELATÓRIOS DE IMPACTO, FISCALIZAÇÃO","3.500,00-5.000,00",5-10,CRATO,EAD,TURNO LIVRE,Focado na implementação de práticas sustentáveis e leis ecológicas dentro de empresas.,https://site.unifatecie.edu.br/curso/gestao-ambiental/,Negócios & Gestão
GESTÃO COMERCIAL,4,450-490,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"GERÊNCIA DE VENDAS, REPRESENTAÇÃO COMERCIAL, CRM, INTELIGÊNCIA DE MERCADO","3.800,00-6.000,00",15-30,CRATO,EAD,TURNO LIVRE,"Direcionado ao aumento de vendas, capacitando para gerenciar equipes e negociar.",https://site.unifatecie.edu.br/curso/gestao-comercial/,Negócios & Gestão
GESTÃO DE QUALIDADE,4,450-490,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"AUDITORIA INTERNA, LEAN, SIX SIGMA, ISO, CONTROLE ESTATÍSTICO","3.800,00-5.500,00",8-15,CRATO,EAD,TURNO LIVRE,Focado em avaliar e padronizar processos para garantir a excelência de produtos ou serviços.,https://site.unifatecie.edu.br/curso/gestao-da-qualidade/,Negócios & Gestão
GESTÃO DE PRODUÇÃO INDUSTRIAL,6,450-500,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"SUPERVISÃO DE CHÃO DE FÁBRICA, PCP, GESTÃO DE ESTOQUES, SEGURANÇA","4.500,00-6.800,00",5-12,CRATO,EAD,TURNO LIVRE,"Prepara para ordenar e supervisionar fábricas, cuidando do fluxo de trabalho e estoque.",https://site.unifatecie.edu.br/curso/gestao-de-producao-industrial/,Negócios & Gestão
GESTÃO DE RECURSOS HUMANOS,4,450-500,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"RECRUTAMENTO E SELEÇÃO, DEPARTAMENTO PESSOAL, TREINAMENTO, CARREIRAS","3.500,00-5.500,00",20-45,CRATO,EAD,TURNO LIVRE,"Focado no gerenciamento de pessoas, contratações, folha de pagamento e planos de carreira.",https://site.unifatecie.edu.br/curso/gestao-de-recursos-humanos/,Negócios & Gestão
GESTÃO DE SEGURANÇA PRIVADA,4,450-480,ENEM/VESTIBULAR,TECNÓLOGO,ILIMITADO,"SEGURANÇA PATRIMONIAL, VIGILÂNCIA, RISCOS CORPORATIVOS, VALORES","3.200,00-4.800,00",5-12,CRATO,EAD,TURNO LIVRE,"Prepara para planejar esquemas de proteção patrimonial e pessoal, prevenindo riscos.",https://site.unifatecie.edu.br/curso/gestao-de-seguranca-privada/,Negócios & Gestão
MATEMÁTICA,8,450-510,ENEM/VESTIBULAR,LICENCIATURA,ILIMITADO,"DOCÊNCIA EM ENSINO MÉDIO OU SUPERIOR, PESQUISA, ANÁLISE FINANCEIRA","4.400,00-5.500,00",5-12,CRATO,EAD,TURNO LIVRE,"Proporciona conhecimentos lógicos avançados e didáticos para o ambiente escolar ou financeiro.",https://site.unifatecie.edu.br/curso/matematica/,Exatas & Engenharias
